name,algorithm,k,silhouette_score,chi
kotek-12.png,kmedoids,18,0.3575363682237101,22722.77947997087
kotek-12.png,kmedoids,19,0.35851211802881283,22515.895455572492
kotek-12.png,kmedoids,20,0.3515572796019602,22493.764850206066
kotek-13.png,kmeans,5,0.4794172704182594,17691.48369677588
kotek-13.png,kmeans,6,0.4811442693200513,17845.741842170508
kotek-13.png,kmeans,7,0.45022694504878347,19309.211967014933
kotek-13.png,kmeans,8,0.43800036882068544,19214.55534069091
kotek-13.png,kmeans,9,0.4275300563631278,19819.29825996118
kotek-13.png,kmeans,10,0.4183074659458084,19757.513920933543
kotek-13.png,kmeans,11,0.3995834832623816,19802.825892970584
kotek-13.png,kmeans,12,0.39049263420961006,19753.4187106985
kotek-13.png,kmeans,13,0.3787492598362504,19666.978942325022
kotek-13.png,kmeans,14,0.3752584675848569,19730.243500649318
kotek-13.png,kmeans,15,0.3730719593478861,19587.542300740482
kotek-13.png,kmeans,16,0.37000095310316616,19361.92020114942
kotek-13.png,kmeans,17,0.36857400593158496,19174.57582231749
kotek-13.png,kmeans,18,0.3644130661034489,19002.31371104523
kotek-13.png,kmeans,19,0.3603758727129634,18923.478042451567
kotek-13.png,kmeans,20,0.3589378944427214,18666.559786990732
kotek-13.png,kmedoids,5,0.47920831970603855,17203.369122511045
kotek-13.png,kmedoids,6,0.4416733159178559,16985.147073760083
kotek-13.png,kmedoids,7,0.42776134375246555,17559.73689608176
kotek-13.png,kmedoids,8,0.41964707458860334,18772.229235554278
kotek-13.png,kmedoids,9,0.39466865598975753,17963.85702483226
kotek-13.png,kmedoids,10,0.3977824777836726,18635.806029308686
kotek-13.png,kmedoids,11,0.390583713414013,18698.145057189402
kotek-13.png,kmedoids,12,0.3884075437742277,19148.718851837773
kotek-13.png,kmedoids,13,0.3753877073157206,18526.724355211063
kotek-13.png,kmedoids,14,0.3797888029210124,18699.925290244777
kotek-13.png,kmedoids,15,0.36632176980642867,18701.84955065193
kotek-13.png,kmedoids,16,0.355553599682678,18493.54407815577
kotek-13.png,kmedoids,17,0.34984351433139227,17966.60116674104
kotek-13.png,kmedoids,18,0.3474940547024492,18164.123308089973
kotek-13.png,kmedoids,19,0.34203122191187474,18046.238815699144
kotek-13.png,kmedoids,20,0.3373053655974009,17976.163640697843
kotek-14.png,kmeans,5,0.5148903384425241,27839.038425914427
kotek-14.png,kmeans,6,0.4992555479988918,28657.269844236325
kotek-14.png,kmeans,7,0.46414825007264815,28014.69825673083
kotek-14.png,kmeans,8,0.44575238406068224,27800.13300940331
kotek-14.png,kmeans,9,0.41428823627606376,27398.736394072224
kotek-14.png,kmeans,10,0.41436046480954714,27058.97122086921
kotek-14.png,kmeans,11,0.415172978736343,26585.831464909686
kotek-14.png,kmeans,12,0.4182946704145464,26260.345580537956
kotek-14.png,kmeans,13,0.41131564947469784,26115.40589472277
kotek-14.png,kmeans,14,0.41053878259457266,25599.660901812204
kotek-14.png,kmeans,15,0.407528238140727,25557.53348199795
kotek-14.png,kmeans,16,0.3912021097050812,25177.34690627214
kotek-14.png,kmeans,17,0.38626509931420727,24880.834160754574
kotek-14.png,kmeans,18,0.38260354183601375,24788.01016363618
kotek-14.png,kmeans,19,0.3780952123792446,24333.62888594348
kotek-14.png,kmeans,20,0.3834563885590316,24262.77923765327
kotek-14.png,kmedoids,5,0.4860072495019895,27483.585495637508
kotek-14.png,kmedoids,6,0.4455526327029373,26491.903542121745
